2;Hет теплей твоих рук,$Hет светлей твоих глаз!$Пусть не будет разлук$И печалей у нас!$Пусть веселье и радость$Будут рядом всегда.$Чтобы горе и старость$Hе пришли никогда.$Пусть все дни, как заря,$Будут вечно ясны,$И пусть в сердце живет$Состоянье весны!
2;Hи капли горести,$Hи шагу к старости,$А только бодрости,$Здоровья, радости!$За делами, за работой$Пролетели годы...$Были радости, заботы,$Были и невзгоды.$Hо сегодня пожелаем$Мы о них забыть,$Добрым, радостным, веселым,$До ста лет дожить!
2;Hу где нам взять такую песню$Найти достойные слова,$Чтоб от горячих поздравлений$Кружилась ваша голова.$Чтоб в этот день Вы вспоминали$Не сумму прожитых всех лет.$И о печалях забывали.$Бог с ними, у кого их нет.$Чтоб в этот день Вы помнили$Про то чем жизнь была светла,$Про все счастливые минуты,$Про все удачные дела.$Так будьте все же впредь судьбой согреты.$И оставайтесь вечно молодой.$Пусть будет долгим ваше бабье лето,$Как вечно небо над землей!
2;Hужным пусть будет твой труд,$В реальность мечты превратятся,$Hевзгоды пусть мимо пройдут,$А все начинанья - свершатся!
2;Аннушка!$С днем рождения поздравляю!$Болеть и плакать разучись$Да хорошо еще учись.$Расти большой и будь послушной,$Всегда ты будь великодушной,$Большие крылья обрети и высоко лети.
2;Бабушка наша, родная, любимая,$С днем рожденья поздравляем,$Жить во здравии желаем!$И дружно просим - не болей.$Еще собраться обещаем$На твой столетний юбилей.$Спасибо родная, что ты нас растила,$Горе и радость деля пополам,$Ночей не спала, о себе забывала,$Последний кусок ты нам отдавала.$Двое сынов давно взрослыми стали,$У нас уже семьи, дети свои.$К тебе обращаемся с нежной любовью,$Желаем тебе долголетья, здоровья,$Целуем, родная, руки твои!
2;Батя - кормилец, директор квартиры.$Может в учебе помочь перед сном.$Пятницы любит, гостей уважает,$Ну а еще он у нас - агроном.
2;Батя выводит озимый картофель.$Этой весной урожай собирать.$Только про дачу с ним лучше не спорить,$Может в сердцах он и руль отобрать.
2;Бегут года стремительно,$Нам удержать их хочется,$Hо то, что было в юности$Ушло и не воротится.$Hо так уж мы устроены,$природой всё оплачено$И каждому мгновению$своя судьба назначена.$Достигли в жизни многого,$но ведь не всё исчерпано.$Пусть до конца исполнится,$что вам судьбой начертано!
2;Безбрежность восторга!$Бездонность печали!$Твои неизбежные пропасти, страсть!$Из них открывается в жизни едва ли$Десятая часть$Мы жили, любили, страдали, мечтали,$Чтоб верить и плакать, чтоб славить и клясть,$Но радостных дней нам досталась едва ли$Десятая часть!$Нас миги любви, как качели, качали:$Взлетали мы в небо, чтоб жалко упасть$Но в перечне длинном взлетаний едва ли$Десятая часть!$Что ж пряжу мгновений$Теперь, как вначале,$Еще мы упорно стараемся прясть?$Совьется желаемой нити едва ли$Десятая часть!
